TICKER_SYMBOL,END_DATE,REVENUE,COGS,OPERATE_PROFIT,N_INCOME
000001,2008-03-31,3553270000.0,2176920000.0,1376351000.0,1004182000.0
000001,2008-06-30,7115253000.0,4274257000.0,2840996000.0,2143834000.0
000001,2008-09-30,10741406000.0,6377202000.0,4364204000.0,3316994000.0
000001,2008-12-31,14513119000.0,13709693000.0,803426000.0,614035000.0
000001,2009-03-31,3760604000.0,2246970000.0,1513634000.0,1122077000.0
000001,2009-06-30,7490850000.0,4569321000.0,2921529000.0,2311388000.0
000001,2009-09-30,11113953000.0,6587504000.0,4526449000.0,3637419000.0
000001,2009-12-31,15114440000.0,8955313000.0,6159127000.0,5030729000.0
000001,2010-03-31,4084252000.0,2089101000.0,1995151000.0,1578118000.0
000001,2010-06-30,8496111000.0,4691283000.0,3804828000.0,3033119000.0
000001,2010-09-30,13159639000.0,7240139000.0,5919500000.0,4733940000.0
000001,2010-12-31,17971773000.0,10171825000.0,7799948000.0,6246537000.0
000001,2011-03-31,5815038000.0,2755081000.0,3059957000.0,2402199000.0
000001,2011-06-30,12137267000.0,6090059000.0,6047208000.0,4731138000.0
000001,2011-09-30,20701401000.0,10882540000.0,9818861000.0,7745077000.0
000001,2011-12-31,29643061000.0,16510360000.0,13132701000.0,10390491000.0
000001,2012-03-31,9724000000.0,5259000000.0,4465000000.0,3495000000.0
000001,2012-06-30,19626000000.0,10789000000.0,8837000000.0,6870000000.0
000001,2012-09-30,29531000000.0,16172000000.0,13359000000.0,10346000000.0
000001,2012-12-31,39748648000.0,22206987000.0,17541661000.0,13510780000.0
000001,2013-03-31,10802000000.0,6085000000.0,4717000000.0,3589000000.0
000001,2013-06-30,23426000000.0,13532000000.0,9894000000.0,7531000000.0
000001,2013-09-30,37345000000.0,22038000000.0,15307000000.0,11696000000.0
000001,2013-12-31,52189000000.0,32234000000.0,19955000000.0,15231000000.0
000001,2014-03-31,16100000000.0,9388000000.0,6712000000.0,5054000000.0
000001,2014-06-30,34733000000.0,21388000000.0,13345000000.0,10072000000.0
000001,2014-09-30,54651000000.0,33880000000.0,20771000000.0,15694000000.0
000001,2014-12-31,73407000000.0,47161000000.0,26246000000.0,19802000000.0
000001,2015-03-31,20671000000.0,13224000000.0,7447000000.0,5629000000.0
000001,2015-06-30,46575000000.0,31308000000.0,15267000000.0,11585000000.0
000001,2015-09-30,71152000000.0,47847000000.0,23305000000.0,17740000000.0
000001,2015-12-31,96163000000.0,67268000000.0,28895000000.0,21865000000.0
000001,2016-03-31,27532000000.0,19518000000.0,8014000000.0,6086000000.0
000001,2016-06-30,54769000000.0,38613000000.0,16156000000.0,12292000000.0
000001,2016-09-30,81968000000.0,57423000000.0,24545000000.0,18719000000.0
000001,2016-12-31,107715000000.0,77936000000.0,29779000000.0,22599000000.0
000001,2017-03-31,27726000000.0,19484000000.0,8242000000.0,6214000000.0
000001,2017-06-30,54073000000.0,37605000000.0,16468000000.0,12554000000.0
000001,2017-09-30,79833000000.0,54833000000.0,25000000000.0,19153000000.0
000001,2017-12-31,105786000000.0,75563000000.0,30223000000.0,23189000000.0
000001,2018-03-31,28026000000.0,19442000000.0,8584000000.0,6595000000.0
000005,2008-03-31,18475330.08,8658388.88,-3870237.88,2261319.16
000005,2008-06-30,44578449.52,17262814.26,-4697803.98,5488803.32
000005,2008-09-30,86678094.54,29481962.65,81325.1,10302094.51
000005,2008-12-31,108720264.83,47317728.08,-34416514.94,10499719.92
